,7
YEAR,2011.0
andhrapradesh,191554.0
arunachalpradesh,4983.0
assam,66942.0
bihar,129521.0
goa,23279.0
gujarat,336886.0
haryana,158523.0
himachalpradesh,33955.0
jammukashmir,33990.0
jharkhand,80157.0
karnataka,248040.0
kerala,176915.0
madhyapradesh,169600.0
chhattisgarh,69265.0
maharashtra,695904.0
manipur,6412.0
meghalaya,10303.0
mizoram,4405.0
nagaland,9291.0
orissa,103628.0
punjab,136987.0
rajasthan,202749.0
sikkim,4548.0
tamilnadu,386508.0
tripura,14421.0
uttarpradesh,365375.0
uttarakhand,52748.0
westbengal,289432.0
andamannicobarislands,3431.0
chandigarh,11959.0
delhi,180722.0
puducherry,10174.0
telangana,160602.0
